;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
1109;2016-08-27;2016-08-30;4;38,34935428771524;39,0
1110;2016-08-27;2016-08-31;5;38,483143411495575;38,0
1111;2016-08-27;2016-09-01;6;38,97749953319499;39,0
1112;2016-08-27;2016-09-02;7;38,01772912267387;42,0
1113;2016-09-03;2016-09-03;1;37,38513004670162;49,0
1114;2016-09-03;2016-09-04;2;42,5903466865994;50,0
1115;2016-09-03;2016-09-05;3;46,2564688572704;46,0
1116;2016-09-03;2016-09-06;4;43,531808060751096;43,0
1117;2016-09-03;2016-09-07;5;44,1438708868945;42,0
1118;2016-09-03;2016-09-08;6;43,0545987675926;40,0
1119;2016-09-03;2016-09-09;7;40,80553436334353;39,0
1120;2016-09-10;2016-09-10;1;40,87346367303529;39,0
1121;2016-09-10;2016-09-11;2;40,58895416632175;38,0
1122;2016-09-10;2016-09-12;3;40,09098116640485;37,0
1123;2016-09-10;2016-09-13;4;39,63296335461638;37,0
1124;2016-09-10;2016-09-14;5;44,12559365940795;36,0
1125;2016-09-10;2016-09-15;6;49,55596275699647;36,0
1126;2016-09-10;2016-09-16;7;49,74128806457939;36,0
1127;2016-09-17;2016-09-17;1;46,17251515705435;35,0
1128;2016-09-17;2016-09-18;2;43,58823165145571;35,0
1129;2016-09-17;2016-09-19;3;42,09682229404495;36,0
1130;2016-09-17;2016-09-20;4;39,710122478848405;38,0
1131;2016-09-17;2016-09-21;5;39,12891027344121;38,0
1132;2016-09-17;2016-09-22;6;38,87215051173392;38,0
1133;2016-09-17;2016-09-23;7;38,00572521999445;37,0
1134;2016-09-24;2016-09-24;1;36,76787213592382;37,0
1135;2016-09-24;2016-09-25;2;36,76406784263158;36,0
1136;2016-09-24;2016-09-26;3;37,40894735572456;36,0
1137;2016-09-24;2016-09-27;4;36,39964977238417;37,0
1138;2016-09-24;2016-09-28;5;35,46984935143919;38,0
1139;2016-09-24;2016-09-29;6;35,402936423568704;37,0
1140;2016-09-24;2016-09-30;7;35,17368140974698;36,0
1141;2016-10-01;2016-10-01;1;36,55249973407003;35,0
1142;2016-10-01;2016-10-02;2;39,424957621231165;35,0
1143;2016-10-01;2016-10-03;3;37,47178651783664;34,0
1144;2016-10-01;2016-10-04;4;39,83091800221447;35,0
1145;2016-10-01;2016-10-05;5;39,83417449308417;44,0
1146;2016-10-01;2016-10-06;6;35,87353104299079;60,0
1147;2016-10-01;2016-10-07;7;37,388500800419486;68,0
1148;2016-10-08;2016-10-08;1;38,96875765168998;61,0
1149;2016-10-08;2016-10-09;2;38,40333214115622;56,0
1150;2016-10-08;2016-10-10;3;41,15363451096332;51,0
1151;2016-10-08;2016-10-11;4;36,77012776361935;47,0
1152;2016-10-08;2016-10-12;5;35,422657655496344;46,0
1153;2016-10-08;2016-10-13;6;37,414127537222164;47,0
1154;2016-10-08;2016-10-14;7;35,85987724423096;48,0
1155;2016-10-15;2016-10-15;1;38,73680952667103;49,0
1156;2016-10-15;2016-10-16;2;38,29488529838125;54,0
1157;2016-10-15;2016-10-17;3;49,09117872078325;59,0
1158;2016-10-15;2016-10-18;4;60,01135506245354;56,0
