;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
449;2014-06-21;2014-06-30;10;37,41933031089409;33,0
450;2014-06-28;2014-06-28;1;39,52598660591925;34,0
451;2014-06-28;2014-06-29;2;38,23559900163398;34,0
452;2014-06-28;2014-06-30;3;37,41732546216335;33,0
453;2014-06-28;2014-07-01;4;37,52250488991787;33,0
454;2014-06-28;2014-07-02;5;37,26480079170232;33,0
455;2014-06-28;2014-07-03;6;37,32210581777735;32,0
456;2014-06-28;2014-07-04;7;36,57806091660026;32,0
457;2014-06-28;2014-07-05;8;36,44946400164372;32,0
458;2014-06-28;2014-07-06;9;35,753892456254505;31,0
459;2014-06-28;2014-07-07;10;35,49569629180891;31,0
460;2014-07-05;2014-07-05;1;36,320898088971006;32,0
461;2014-07-05;2014-07-06;2;35,567419211780155;31,0
462;2014-07-05;2014-07-07;3;35,57802142598235;31,0
463;2014-07-05;2014-07-08;4;35,434268813747636;31,0
464;2014-07-05;2014-07-09;5;34,6667603179451;31,0
465;2014-07-05;2014-07-10;6;34,64714972544582;31,0
466;2014-07-05;2014-07-11;7;35,098755213907744;31,0
467;2014-07-05;2014-07-12;8;33,90870481951941;33,0
468;2014-07-05;2014-07-13;9;33,26830144932104;36,0
469;2014-07-05;2014-07-14;10;34,2601558022255;37,0
470;2014-07-12;2014-07-12;1;33,78607426193095;33,0
471;2014-07-12;2014-07-13;2;33,151837671011315;36,0
472;2014-07-12;2014-07-14;3;34,25764611015078;37,0
473;2014-07-12;2014-07-15;4;32,07524253669598;36,0
474;2014-07-12;2014-07-16;5;33,25822242265144;36,0
475;2014-07-12;2014-07-17;6;33,020995071674974;36,0
476;2014-07-12;2014-07-18;7;31,520822371143094;35,0
477;2014-07-12;2014-07-19;8;31,437018697132586;34,0
478;2014-07-12;2014-07-20;9;30,975355361416486;33,0
479;2014-07-12;2014-07-21;10;31,135896420337836;33,0
480;2014-07-19;2014-07-19;1;31,421501225688775;34,0
481;2014-07-19;2014-07-20;2;31,00731902882246;33,0
482;2014-07-19;2014-07-21;3;31,295074635390776;33,0
483;2014-07-19;2014-07-22;4;31,318740561655805;32,0
484;2014-07-19;2014-07-23;5;31,784550484161603;32,0
485;2014-07-19;2014-07-24;6;34,01969008323565;32,0
486;2014-07-19;2014-07-25;7;36,40600252346387;32,0
487;2014-07-19;2014-07-26;8;37,45367651435279;33,0
488;2014-07-19;2014-07-27;9;36,14283451803796;35,0
489;2014-07-19;2014-07-28;10;36,3304843624873;37,0
490;2014-07-26;2014-07-26;1;37,475649419192365;33,0
491;2014-07-26;2014-07-27;2;36,20452105690955;35,0
492;2014-07-26;2014-07-28;3;36,2407875341655;37,0
493;2014-07-26;2014-07-29;4;36,26685532578643;39,0
494;2014-07-26;2014-07-30;5;34,17549559920831;39,0
